用户id,注册时间,性别,年龄,学历,所属省份,所属地市,下载渠道,游戏职业,游戏等级,最近一次登录时间
C37013,2018/3/31,女,40,本科,广西壮族自治区,河池市,APP Store,剑士,青铜,2018/4/9
C51888,2018/7/15,男,27,大专,重庆市,重庆市,华为应用商店,剑士,青铜,2018/12/20
C29544,2018/11/21,男,24,大专,广西壮族自治区,柳州市,vivo应用商店,法师,青铜,2019/3/7
C27925,2018/9/13,女,27,大专,广东省,东莞市,APP Store,刺客,青铜,2019/5/25
C21734,2019/1/19,男,15,初中及以下,江西省,南昌市,小米应用商店,法师,青铜,2019/2/13
C27392,2018/10/5,男,27,高中/中专,天津市,天津市,oppo应用商店,法师,青铜,2019/5/21
C41698,2018/1/7,男,18,高中/中专,江苏省,扬州市,小米应用商店,刺客,青铜,2018/8/30
C25099,2018/5/17,女,21,本科,湖北省,襄阳市,APP Store,剑士,青铜,2018/11/26
C26975,2017#7#13,女,14,初中及以下,山东省,临沂市,小米应用商店,法师,青铜,2018/1/14
C40736,2018/11/3,男,16,高中/中专,湖南省,怀化市,其他,法师,青铜,2019/2/11
C50710,2017#12#24,男,20,大专,北京市,北京市,华为应用商店,法师,白银,2019/8/25
C28854,2019/1/19,男,25,高中/中专,广东省,深圳市,APP Store,刺客,白银,2019/1/28
C22421,2018/1/17,女,17,高中/中专,新疆维吾尔自治区,伊犁哈萨克自治州,APP Store,刺客,白银,2018/11/10
C41835,2018/10/31,女,28,大专,天津市,天津市,华为应用商店,法师,青铜,2019/10/4
C37926,2017#9#12,男,32,初中及以下,广东省,广州市,oppo应用商店,法师,青铜,2019/11/28
C41886,2017#7#29,女,17,大专,四川省,广元市,华为应用商店,法师,青铜,2018/6/9
C43108,2017#8#30,男,14,初中及以下,重庆市,重庆市,应用宝,剑士,青铜,2018/11/4
C33351,2017#7#15,女,15,初中及以下,湖北省,鄂州市,华为应用商店,法师,青铜,2018/11/28
C25699,2017#12#22,女,18,大专,福建省,厦门市,APP Store,刺客,白银,2019/7/24
C31783,2017#10#12,男,14,初中及以下,云南省,红河哈尼族彝族自治州,华为应用商店,法师,青铜,2019/4/3
C35830,2017#9#9,女,19,本科,江西省,赣州市,应用宝,剑士,青铜,2019/5/23
C50012,2017#11#24,女,20,大专,安徽省,铜陵市,APP Store,法师,青铜,2018/8/22
C40319,2019/5/25,男,35,高中/中专,山东省,烟台市,小米应用商店,刺客,青铜,2019/8/31
C45729,2018/9/20,男,17,高中/中专,广东省,广州市,小米应用商店,刺客,白银,2019/1/18
C48242,2017#7#13,男,26,大专,山东省,青岛市,APP Store,刺客,青铜,2019/4/24
C29658,2018/9/12,男,30,高中/中专,辽宁省,抚顺市,小米应用商店,法师,青铜,2019/11/25
C47105,2017#11#8,女,21,高中/中专,山东省,滨州市,APP Store,法师,青铜,2018/12/30
C39360,2019/5/24,男,18,大专,贵州省,贵阳市,oppo应用商店,法师,星耀,2019/8/2
C21433,2018/8/23,男,43,本科,上海市,上海市,vivo应用商店,法师,青铜,2018/9/18
C37679,2017#9#14,男,23,高中/中专,云南省,昆明市,小米应用商店,刺客,青铜,2019/6/25
C24057,2019/3/3,女,20,硕士,上海市,上海市,oppo应用商店,法师,青铜,2019/4/18
C37902,2017#9#28,女,20,本科,安徽省,亳州市,oppo应用商店,法师,青铜,2019/3/26
C28568,2018/9/12,女,27,大专,云南省,昆明市,oppo应用商店,法师,青铜,2019/10/6
C36172,2018/11/5,男,17,初中及以下,天津市,天津市,应用宝,法师,青铜,2019/3/23
C25939,2017#9#23,女,19,本科,湖北省,武汉市,APP Store,剑士,星耀,2018/12/7
C21404,2019/2/9,男,23,本科,广东省,佛山市,APP Store,法师,白银,2019/3/28
C49679,2019/1/23,男,21,高中/中专,浙江省,金华市,oppo应用商店,法师,白银,2019/4/23
C39361,2019/4/12,男,26,大专,安徽省,宿州市,APP Store,剑士,青铜,2019/5/4
C25299,2019/2/6,男,26,大专,广东省,广州市,华为应用商店,剑士,白银,2019/10/22
C29431,2017#11#1,女,20,高中/中专,浙江省,温州市,应用宝,法师,青铜,2019/6/21
C46317,2018/9/15,女,23,本科,北京市,北京市,APP Store,刺客,星耀,2019/8/30
C24334,2019/3/13,男,33,本科,宁夏回族自治区,石嘴山市,APP Store,法师,白银,2019/5/20
C22395,2018/5/23,女,25,高中/中专,陕西省,西安市,华为应用商店,法师,青铜,2018/7/9
C21224,2018/2/28,女,23,大专,浙江省,嘉兴市,应用宝,刺客,青铜,2018/4/28
C22295,2018/5/23,女,30,本科,河北省,秦皇岛市,vivo应用商店,法师,青铜,2019/3/5
C45283,2017#11#30,女,18,高中/中专,河南省,许昌市,小米应用商店,刺客,黄金,2018/3/11
C29087,2018/1/18,男,13,初中及以下,江苏省,常州市,华为应用商店,法师,青铜,2018/9/14
C50446,2017#7#29,男,20,本科,湖南省,岳阳市,华为应用商店,剑士,白银,2017/9/25
C24438,2017#7#23,男,16,大专,吉林省,长春市,华为应用商店,剑士,青铜,2019/4/27
C22060,2018/7/3,女,35,本科,湖北省,武汉市,应用宝,法师,青铜,2019/3/30
C48061,2017#10#10,女,27,大专,贵州省,安顺市,oppo应用商店,剑士,青铜,2019/8/15
C47368,2017#12#23,男,30,硕士,江苏省,扬州市,华为应用商店,法师,青铜,2019/8/2
C45269,2018/3/8,女,32,本科,安徽省,六安市,APP Store,剑士,白银,2018/11/5
C38586,2018/1/1,男,25,本科,贵州省,贵阳市,华为应用商店,法师,青铜,2018/7/28
C30131,2018/7/12,女,30,高中/中专,陕西省,西安市,vivo应用商店,剑士,青铜,2018/11/6
C50807,2017#11#23,男,24,本科,湖北省,襄阳市,APP Store,法师,青铜,2019/7/9
C44112,2018/3/12,女,18,大专,黑龙江省,大庆市,应用宝,刺客,白银,2019/3/11
C39760,2017#9#10,男,22,大专,浙江省,杭州市,华为应用商店,刺客,青铜,2019/8/24
C45148,2018/5/17,女,16,高中/中专,湖北省,武汉市,小米应用商店,法师,青铜,2018/9/22
C29885,2017#10#17,男,27,大专,安徽省,宣城市,oppo应用商店,剑士,青铜,2018/1/31
C40638,2018/11/6,男,20,大专,天津市,天津市,APP Store,法师,白银,2019/9/1
C29726,2017#10#7,女,15,初中及以下,河南省,信阳市,华为应用商店,刺客,黄金,2019/2/28
C47999,2017#12#23,男,26,大专,浙江省,宁波市,APP Store,刺客,青铜,2019/8/2
C22539,2019/6/27,男,26,大专,湖南省,岳阳市,oppo应用商店,法师,星耀,2019/7/9
C22271,2018/2/16,男,40,大专,河北省,石家庄市,vivo应用商店,法师,青铜,2019/11/21
C48402,2018/7/12,男,22,博士及以上,江西省,抚州市,APP Store,刺客,青铜,2019/10/9
C21702,2018/10/5,男,23,本科,广东省,广州市,oppo应用商店,刺客,白银,2018/12/1
C25763,2018/9/15,男,33,大专,江苏省,扬州市,华为应用商店,法师,青铜,2019/7/8
C34232,2017#8#13,男,23,高中/中专,湖南省,邵阳市,oppo应用商店,法师,青铜,2017/12/23
C23319,2017#10#10,男,31,硕士,山西省,太原市,小米应用商店,刺客,青铜,2018/6/18
C33187,2018/7/2,女,32,本科,广东省,江门市,应用宝,法师,黄金,2018/9/19
C49221,2017#7#30,男,28,硕士,天津市,天津市,APP Store,刺客,黄金,2018/12/22
C49069,2017#8#15,女,25,本科,广东省,佛山市,vivo应用商店,法师,星耀,2017/9/29
C47753,2019/1/17,女,34,本科,江西省,南昌市,华为应用商店,法师,青铜,2019/2/19
C36095,2017#10#1,男,19,初中及以下,重庆市,重庆市,APP Store,法师,青铜,2019/11/23
C47488,2017#8#13,男,17,大专,湖南省,邵阳市,应用宝,法师,青铜,2019/2/27
C22437,2019/6/9,男,17,初中及以下,江苏省,南京市,应用宝,剑士,青铜,2019/7/26
C29613,2017#11#16,男,13,初中及以下,四川省,成都市,其他,刺客,青铜,2018/10/5
C22024,2018/3/22,男,22,大专,广西壮族自治区,贺州市,小米应用商店,法师,白银,2019/2/17
C35883,2019/4/12,男,27,大专,河南省,驻马店市,APP Store,刺客,青铜,2019/5/31
C37411,2018/9/29,女,24,本科,四川省,绵阳市,华为应用商店,剑士,青铜,2018/11/25
C27208,2017#10#13,女,17,高中/中专,广西壮族自治区,柳州市,APP Store,法师,青铜,2019/8/12
C52122,2017#11#25,女,29,初中及以下,山西省,朔州市,华为应用商店,法师,青铜,2019/9/7
C22670,2018/6/24,男,30,大专,江苏省,泰州市,华为应用商店,刺客,青铜,2018/11/30
C26745,2017#7#16,男,28,本科,北京市,北京市,APP Store,法师,白银,2019/6/14
C33610,2018/2/10,男,31,大专,江苏省,常州市,应用宝,刺客,青铜,2018/10/1
C33247,2017#12#29,男,15,初中及以下,河北省,邯郸市,小米应用商店,剑士,青铜,2019/6/5
C41963,2018/6/15,男,24,高中/中专,广东省,肇庆市,华为应用商店,剑士,白银,2019/4/28
C24347,2018/9/27,女,16,高中/中专,河北省,石家庄市,小米应用商店,刺客,青铜,2019/8/16
C21129,2017#8#4,男,16,高中/中专,浙江省,杭州市,华为应用商店,法师,青铜,2018/2/19
C46319,2018/4/20,女,19,初中及以下,河南省,信阳市,APP Store,刺客,青铜,2018/6/11
C45952,2019/1/25,女,22,高中/中专,江苏省,泰州市,华为应用商店,刺客,青铜,2019/3/16
C34256,2018/3/4,男,15,初中及以下,上海市,上海市,oppo应用商店,法师,青铜,2018/4/12
C40195,2018/8/21,女,27,高中/中专,四川省,成都市,oppo应用商店,法师,青铜,2019/7/3
C34547,2018/8/19,男,26,大专,河南省,焦作市,APP Store,法师,白银,2019/3/9
C38780,2017#12#24,男,36,初中及以下,江苏省,苏州市,应用宝,法师,青铜,2019/1/15
C38841,2018/3/3,男,25,大专,河南省,郑州市,华为应用商店,法师,青铜,2019/9/14
C41452,2018/2/19,男,16,大专,上海市,上海市,APP Store,法师,青铜,2018/5/24
C49614,2018/9/17,男,19,本科,河北省,保定市,华为应用商店,剑士,青铜,2019/10/2
C42512,2017#11#30,女,28,大专,江苏省,徐州市,APP Store,刺客,青铜,2019/9/21
C39067,2018/5/24,男,41,大专,四川省,资阳市,APP Store,法师,青铜,2018/11/28
C26553,2017#10#1,男,29,初中及以下,山西省,长治市,vivo应用商店,刺客,青铜,2018/10/20
C32841,2018/6/27,女,24,大专,广东省,深圳市,vivo应用商店,刺客,青铜,2019/5/12
C35243,2018/12/13,女,23,大专,云南省,曲靖市,vivo应用商店,刺客,青铜,2019/3/29
C40813,2019/1/13,男,17,大专,山西省,朔州市,oppo应用商店,刺客,青铜,2019/2/27
C29090,2019/6/4,女,17,高中/中专,湖北省,武汉市,华为应用商店,剑士,青铜,2019/9/6
C37335,2017#9#29,男,26,高中/中专,贵州省,安顺市,华为应用商店,法师,青铜,2017/11/27
C35188,2017#7#11,男,25,高中/中专,山西省,大同市,小米应用商店,法师,白银,2017/12/7
C28673,2018/8/18,男,14,初中及以下,江苏省,常州市,小米应用商店,法师,青铜,2019/7/31
C21121,2017#10#26,男,15,初中及以下,河北省,唐山市,华为应用商店,法师,青铜,2018/10/18
C26865,2018/9/14,男,33,大专,湖北省,黄石市,APP Store,法师,青铜,2019/6/23
C26223,2019/1/19,男,20,本科,云南省,红河哈尼族彝族自治州,小米应用商店,法师,青铜,2019/2/21
C36128,2018/12/18,男,25,初中及以下,甘肃省,白银市,应用宝,法师,青铜,2019/10/18
C46172,2018/1/17,男,34,本科,江苏省,常州市,小米应用商店,剑士,青铜,2019/2/5
C32523,2018/12/18,男,28,大专,广东省,深圳市,APP Store,法师,青铜,2019/11/1
C39692,2017#10#27,女,19,大专,山东省,威海市,华为应用商店,法师,青铜,2018/5/9
C27708,2017#10#31,男,31,高中/中专,福建省,漳州市,APP Store,法师,白银,2018/12/24
C34911,2018/5/15,男,28,大专,浙江省,温州市,应用宝,法师,青铜,2018/12/11
C24287,2018/7/17,男,20,本科,广东省,深圳市,oppo应用商店,法师,青铜,2019/8/9
C46092,2018/10/29,男,29,本科,江苏省,淮安市,vivo应用商店,刺客,青铜,2019/10/25
C39241,2017#10#1,男,19,大专,广东省,深圳市,APP Store,法师,青铜,2018/6/23
C28166,2018/4/30,女,18,大专,浙江省,宁波市,oppo应用商店,刺客,青铜,2018/9/17
C30457,2018/9/29,男,26,本科,北京市,北京市,华为应用商店,剑士,青铜,2018/10/25
C23813,2018/5/1,女,26,大专,广东省,中山市,华为应用商店,法师,青铜,2018/6/17
C47622,2018/9/3,男,22,大专,江苏省,泰州市,应用宝,刺客,青铜,2019/9/14
C33986,2018/5/17,男,15,初中及以下,广东省,深圳市,应用宝,剑士,青铜,2019/6/1
C39430,2019/6/9,女,23,大专,浙江省,宁波市,华为应用商店,剑士,青铜,2019/8/21
C43977,2017#10#31,男,20,大专,湖北省,宜昌市,vivo应用商店,法师,青铜,2018/8/20
C47074,2018/1/1,男,20,大专,福建省,龙岩市,vivo应用商店,法师,青铜,2018/5/3
C32136,2018/2/12,女,20,大专,上海市,上海市,vivo应用商店,剑士,青铜,2019/1/23
C25703,2018/8/14,男,21,大专,湖北省,湖北省直辖,APP Store,刺客,青铜,2019/4/21
C30608,2018/2/16,男,25,高中/中专,山西省,大同市,华为应用商店,刺客,王者,2018/8/12
C31428,2018/10/12,男,16,初中及以下,吉林省,长春市,oppo应用商店,法师,青铜,2019/9/10
C35095,2019/3/3,女,14,初中及以下,广东省,肇庆市,APP Store,刺客,黄金,2019/5/24
C34403,2018/8/21,男,24,硕士,山东省,威海市,小米应用商店,法师,青铜,2019/6/23
C35271,2018/4/20,男,34,本科,广东省,湛江市,华为应用商店,刺客,黄金,2019/11/20
C31265,2018/7/17,男,28,大专,江苏省,泰州市,应用宝,剑士,青铜,2019/5/29
C35892,2018/3/2,男,33,高中/中专,海南省,海南省直辖,小米应用商店,法师,青铜,2019/11/30
C37210,2019/1/31,男,26,大专,广东省,广州市,APP Store,法师,青铜,2019/3/24
C21226,2018/8/3,男,14,初中及以下,河南省,郑州市,APP Store,法师,青铜,2019/1/29
C50450,2019/2/11,男,24,初中及以下,江西省,南昌市,小米应用商店,法师,青铜,2019/4/23
C25269,2018/6/20,男,17,大专,江苏省,无锡市,应用宝,法师,白银,2019/2/17
C25441,2019/4/19,男,33,初中及以下,山东省,烟台市,其他,刺客,青铜,2019/5/5
C42750,2018/12/27,男,23,本科,江苏省,南京市,APP Store,法师,青铜,2019/2/13
C26741,2019/3/3,男,27,本科,福建省,泉州市,应用宝,刺客,青铜,2019/3/14
C24892,2018/8/19,女,23,大专,广东省,深圳市,华为应用商店,刺客,青铜,2019/9/24
C29119,2018/6/20,男,26,初中及以下,浙江省,温州市,APP Store,法师,白银,2018/7/12
C40291,2018/8/26,女,32,高中/中专,重庆市,重庆市,vivo应用商店,法师,青铜,2018/10/4
C51746,2018/10/10,男,29,高中/中专,福建省,泉州市,应用宝,法师,青铜,2019/7/20
C26148,2017#9#21,男,30,高中/中专,江苏省,连云港市,APP Store,剑士,白银,2018/1/4
C45785,2017#7#16,女,25,大专,山东省,临沂市,oppo应用商店,剑士,白银,2018/12/13
C32334,2017#10#26,女,17,大专,广西壮族自治区,钦州市,应用宝,剑士,青铜,2019/8/31
C25029,2017#10#12,男,31,大专,广东省,广州市,应用宝,法师,青铜,2018/9/21
C27644,2018/1/17,男,23,大专,广东省,阳江市,华为应用商店,法师,青铜,2019/1/30
C29810,2017#9#23,男,18,初中及以下,广东省,深圳市,应用宝,刺客,青铜,2017/10/24
C23427,2017#9#11,男,22,本科,广东省,东莞市,小米应用商店,法师,青铜,2019/5/16
C24436,2018/3/25,女,15,初中及以下,江苏省,泰州市,oppo应用商店,法师,青铜,2019/3/22
C35281,2018/1/23,男,16,初中及以下,江苏省,泰州市,华为应用商店,法师,白银,2018/8/30
C49122,2017#10#17,男,40,大专,安徽省,滁州市,华为应用商店,刺客,青铜,2019/1/17
C21505,2017#10#4,男,33,高中/中专,江苏省,扬州市,华为应用商店,法师,青铜,2018/7/9
C25756,2017#10#27,男,37,硕士,广东省,广州市,华为应用商店,法师,青铜,2019/8/26
C38845,2019/6/15,女,24,硕士,广东省,江门市,小米应用商店,刺客,青铜,2019/8/11
C42150,2017#8#11,男,17,高中/中专,山西省,长治市,vivo应用商店,剑士,青铜,2019/9/5
C27740,2018/6/17,男,30,本科,四川省,凉山彝族自治州,华为应用商店,刺客,青铜,2019/5/13
C30111,2017#10#18,男,27,本科,江苏省,无锡市,华为应用商店,法师,青铜,2019/9/11
C42560,2017#10#17,男,29,高中/中专,重庆市,重庆市,小米应用商店,刺客,青铜,2019/4/3
C42824,2019/1/13,男,22,大专,福建省,泉州市,应用宝,法师,青铜,2019/1/30
C31986,2019/2/13,男,21,本科,江西省,九江市,vivo应用商店,剑士,青铜,2019/5/9
C24051,2018/5/24,女,20,高中/中专,福建省,福州市,APP Store,法师,白银,2019/2/12
C46302,2018/10/10,男,21,本科,山东省,潍坊市,APP Store,法师,青铜,2019/8/17
C25033,2017#7#10,男,33,大专,浙江省,温州市,华为应用商店,法师,青铜,2019/2/27
C46989,2017#8#14,女,15,初中及以下,北京市,北京市,应用宝,法师,青铜,2019/1/21
C23417,2018/1/8,女,21,大专,新疆维吾尔自治区,乌鲁木齐市,应用宝,法师,白银,2018/4/11
C37727,2018/7/21,男,17,高中/中专,福建省,宁德市,小米应用商店,刺客,青铜,2019/3/29
C42307,2019/1/19,男,30,硕士,广东省,广州市,应用宝,刺客,黄金,2019/2/21
C46290,2017#8#13,男,21,初中及以下,湖南省,娄底市,APP Store,法师,青铜,2019/8/3
C32517,2017#7#19,女,20,本科,上海市,上海市,vivo应用商店,法师,青铜,2018/3/6
C41663,2018/9/24,男,29,本科,重庆市,重庆市,APP Store,法师,黄金,2019/3/31
C38544,2018/8/18,男,24,大专,重庆市,重庆市,华为应用商店,法师,青铜,2019/8/24
C30235,2017#10#9,女,32,本科,陕西省,西安市,华为应用商店,剑士,白银,2018/1/27
C29627,2019/4/30,男,28,大专,广东省,佛山市,华为应用商店,刺客,青铜,2019/6/18
C39453,2019/3/25,男,21,本科,河南省,商丘市,APP Store,刺客,青铜,2019/6/17
C21668,2018/12/7,男,14,初中及以下,浙江省,温州市,vivo应用商店,剑士,青铜,2019/9/18
C46272,2018/6/3,男,23,本科,安徽省,合肥市,oppo应用商店,法师,青铜,2019/6/3
C29780,2017#7#7,男,23,本科,广东省,深圳市,华为应用商店,法师,青铜,2018/9/13
C21991,2018/5/12,男,26,初中及以下,江苏省,徐州市,华为应用商店,法师,黄金,2018/10/3
C41695,2019/5/6,男,27,大专,山西省,朔州市,oppo应用商店,剑士,青铜,2019/5/28
C21969,2019/1/14,女,24,本科,云南省,曲靖市,APP Store,剑士,青铜,2019/3/20
C41520,2017#10#24,男,20,初中及以下,北京市,北京市,vivo应用商店,剑士,青铜,2019/8/14
C49281,2018/1/8,男,13,初中及以下,湖南省,郴州市,vivo应用商店,刺客,青铜,2018/9/7
C42865,2018/9/12,男,20,初中及以下,安徽省,蚌埠市,华为应用商店,剑士,青铜,2019/9/19
C42305,2017#9#24,女,14,初中及以下,上海市,上海市,华为应用商店,剑士,青铜,2019/4/5
C36465,2017#8#30,男,26,高中/中专,江苏省,苏州市,oppo应用商店,法师,白银,2017/10/26
C28520,2019/2/8,女,16,高中/中专,河北省,邯郸市,vivo应用商店,剑士,青铜,2019/5/6
C33709,2018/2/12,女,33,大专,湖南省,株洲市,其他,法师,青铜,2019/11/24
C30095,2017#9#19,女,31,本科,江苏省,南京市,华为应用商店,法师,青铜,2019/5/10
C51845,2017#9#30,男,17,初中及以下,广东省,佛山市,华为应用商店,剑士,青铜,2019/10/28
C21606,2017#11#15,女,38,大专,广东省,惠州市,oppo应用商店,法师,白银,2018/5/31
C43425,2018/9/20,男,18,大专,江苏省,无锡市,华为应用商店,剑士,青铜,2018/11/4
C48209,2018/1/19,男,30,本科,广东省,湛江市,vivo应用商店,法师,青铜,2018/3/20
C51239,2018/12/13,男,33,硕士,江苏省,南通市,其他,法师,青铜,2019/1/21
C30932,2017#8#4,男,29,大专,山西省,太原市,应用宝,剑士,青铜,2019/5/20
C33269,2017#8#4,男,21,大专,浙江省,嘉兴市,小米应用商店,法师,青铜,2017/12/3
C28599,2017#10#17,男,23,大专,北京市,北京市,APP Store,剑士,青铜,2017/12/7
C38647,2019/5/7,女,19,大专,浙江省,湖州市,小米应用商店,刺客,青铜,2019/5/9
C28343,2018/8/29,男,21,高中/中专,云南省,昭通市,华为应用商店,法师,青铜,2019/3/16
C30088,2017#9#23,男,17,高中/中专,安徽省,黄山市,其他,剑士,青铜,2018/10/18
C35319,2018/3/23,男,43,初中及以下,湖北省,武汉市,应用宝,法师,青铜,2018/8/8
C43925,2019/2/5,女,24,初中及以下,广东省,深圳市,华为应用商店,法师,青铜,2019/3/19
C37177,2018/5/12,男,18,高中/中专,山东省,枣庄市,vivo应用商店,法师,青铜,2019/4/25
C24333,2017#11#24,女,25,本科,江苏省,徐州市,vivo应用商店,刺客,青铜,2018/1/9
C26813,2018/10/5,男,22,大专,广东省,深圳市,华为应用商店,刺客,青铜,2019/3/21
C44488,2017#12#2,男,39,大专,福建省,福州市,华为应用商店,刺客,青铜,2019/4/26
C35675,2019/2/13,男,33,大专,江西省,宜春市,vivo应用商店,法师,青铜,2019/2/24
C48729,2018/5/3,男,30,初中及以下,安徽省,六安市,vivo应用商店,刺客,青铜,2018/12/8
C29855,2019/4/11,男,25,本科,福建省,福州市,应用宝,法师,青铜,2019/4/17
C50962,2017#7#16,女,20,大专,四川省,遂宁市,APP Store,剑士,青铜,2018/12/3
C45415,2019/5/3,女,21,本科,广东省,惠州市,小米应用商店,刺客,青铜,2019/5/22
C46551,2017#8#30,男,20,高中/中专,重庆市,重庆市,vivo应用商店,刺客,青铜,2018/8/25
C28358,2017#9#29,男,13,初中及以下,山东省,青岛市,vivo应用商店,刺客,青铜,2018/11/20
C25251,2017#11#16,男,23,大专,广东省,云浮市,华为应用商店,法师,青铜,2019/5/6
C38941,2017#8#4,女,21,大专,江苏省,苏州市,APP Store,刺客,青铜,2018/6/7
C38306,2017#8#17,男,28,大专,黑龙江省,大庆市,oppo应用商店,法师,青铜,2018/5/20
C48096,2019/3/25,女,35,本科,广东省,东莞市,oppo应用商店,剑士,青铜,2019/6/4
C45011,2018/11/12,男,19,大专,江苏省,苏州市,华为应用商店,刺客,青铜,2019/11/19
C33277,2018/9/22,女,28,大专,江苏省,泰州市,应用宝,剑士,青铜,2019/8/23
C37837,2018/1/20,女,14,初中及以下,江西省,赣州市,小米应用商店,法师,黄金,2018/12/2
C31997,2018/11/22,男,14,初中及以下,黑龙江省,大庆市,APP Store,法师,青铜,2019/5/4
C32906,2019/4/12,男,42,大专,江西省,南昌市,华为应用商店,法师,青铜,2019/6/16
C22298,2018/10/29,男,33,本科,江苏省,泰州市,其他,刺客,青铜,2019/9/14
C37149,2019/2/15,男,26,大专,浙江省,嘉兴市,华为应用商店,法师,青铜,2019/5/26
C22778,2018/8/22,男,17,初中及以下,湖南省,怀化市,小米应用商店,剑士,白银,2019/2/22
C35477,2018/3/13,男,29,大专,江苏省,徐州市,APP Store,法师,青铜,2019/3/15
C21988,2018/6/2,男,29,大专,浙江省,台州市,华为应用商店,法师,青铜,2018/7/7
C44709,2017#11#1,女,17,大专,湖南省,衡阳市,APP Store,剑士,青铜,2018/10/7
C35554,2018/1/1,女,20,硕士,云南省,楚雄彝族自治州,oppo应用商店,刺客,青铜,2018/7/29
C32871,2019/5/31,女,36,本科,浙江省,温州市,oppo应用商店,法师,青铜,2019/7/1
C32423,2017#9#20,女,35,本科,江苏省,镇江市,小米应用商店,刺客,青铜,2018/8/1
C35210,2019/1/17,男,26,大专,河北省,保定市,小米应用商店,剑士,青铜,2019/3/23
C29437,2019/4/11,男,13,初中及以下,江苏省,淮安市,oppo应用商店,法师,青铜,2019/7/13
C39644,2017#10#6,男,21,初中及以下,广东省,深圳市,oppo应用商店,剑士,青铜,2018/5/25
C27259,2018/6/4,男,23,大专,福建省,福州市,华为应用商店,刺客,青铜,2019/9/29
C32709,2017#12#18,男,33,高中/中专,上海市,上海市,应用宝,剑士,青铜,2019/2/26
C35108,2018/10/10,男,20,大专,江苏省,无锡市,APP Store,刺客,青铜,2018/11/10
C35206,2018/7/4,女,24,大专,浙江省,宁波市,vivo应用商店,剑士,青铜,2019/5/6
C44148,2019/3/11,女,15,初中及以下,浙江省,宁波市,oppo应用商店,剑士,青铜,2019/4/3
C45522,2019/4/30,男,22,本科,浙江省,温州市,其他,法师,青铜,2019/7/16
C35965,2018/2/12,女,25,大专,云南省,保山市,华为应用商店,法师,白银,2018/3/18
C45073,2017#10#12,女,23,大专,江苏省,扬州市,小米应用商店,法师,青铜,2019/4/29
C42020,2018/1/10,男,25,大专,福建省,泉州市,华为应用商店,刺客,青铜,2018/3/29
C39839,2018/10/27,女,38,初中及以下,山东省,威海市,华为应用商店,剑士,青铜,2019/9/3
C52301,2018/3/3,女,41,大专,江西省,吉安市,应用宝,剑士,黄金,2018/12/22
C35022,2018/6/17,男,17,高中/中专,河南省,郑州市,小米应用商店,剑士,白银,2019/4/5
C24496,2019/2/23,女,24,本科,湖北省,十堰市,oppo应用商店,法师,青铜,2019/9/8
C37612,2018/2/14,女,18,大专,上海市,上海市,应用宝,刺客,青铜,2018/10/17
C36598,2018/4/17,女,19,本科,山东省,威海市,vivo应用商店,刺客,白银,2019/5/1
C22805,2018/3/19,男,23,高中/中专,宁夏回族自治区,吴忠市,oppo应用商店,剑士,白银,2018/7/26
C28296,2017#11#23,男,15,初中及以下,广西壮族自治区,南宁市,应用宝,刺客,青铜,2019/8/1
C45495,2017#7#29,男,21,大专,江苏省,苏州市,小米应用商店,法师,青铜,2018/12/3
C38601,2017#10#29,男,24,本科,江苏省,扬州市,应用宝,法师,青铜,2019/1/20
C47653,2017#12#25,男,31,本科,山东省,菏泽市,华为应用商店,法师,青铜,2019/7/6
C43886,2017#9#17,男,21,大专,上海市,上海市,APP Store,刺客,白银,2019/8/15
C51436,2017#10#4,男,35,高中/中专,重庆市,重庆市,应用宝,法师,青铜,2018/4/24
C34103,2017#8#4,男,23,本科,江苏省,常州市,oppo应用商店,刺客,黄金,2018/8/20
C47106,2018/3/25,男,29,硕士,山东省,淄博市,APP Store,法师,青铜,2018/12/12
C44325,2017#8#23,男,18,高中/中专,云南省,普洱市,vivo应用商店,刺客,青铜,2017/12/9
C28204,2019/1/23,男,20,本科,广东省,广州市,应用宝,剑士,青铜,2019/2/23
C45251,2017#12#24,女,17,初中及以下,江西省,宜春市,oppo应用商店,刺客,青铜,2018/6/3
C46198,2017#9#11,男,40,大专,浙江省,宁波市,应用宝,刺客,白银,2018/4/17
C41855,2017#12#29,男,34,大专,山东省,潍坊市,oppo应用商店,法师,青铜,2019/2/9
C38268,2017#11#8,女,27,大专,四川省,成都市,APP Store,剑士,白银,2018/10/25
C42182,2018/6/30,男,28,初中及以下,广东省,广州市,vivo应用商店,剑士,青铜,2018/8/5
C43683,2018/9/20,男,17,初中及以下,四川省,成都市,vivo应用商店,剑士,青铜,2019/10/12
C46622,2017#7#16,男,22,高中/中专,江苏省,扬州市,华为应用商店,法师,青铜,2019/2/17
C23883,2019/6/28,男,26,本科,北京市,北京市,APP Store,剑士,白银,2019/7/19
C31828,2017#7#10,男,16,高中/中专,山东省,临沂市,应用宝,刺客,青铜,2018/9/20
C23727,2018/5/24,男,30,本科,江西省,南昌市,APP Store,刺客,青铜,2019/6/18
C49980,2019/3/16,男,26,本科,河南省,南阳市,华为应用商店,剑士,青铜,2019/7/12
C42526,2018/6/10,女,39,初中及以下,青海省,海东市,应用宝,剑士,青铜,2019/5/7
C36509,2017#12#28,女,18,大专,河南省,许昌市,小米应用商店,刺客,白银,2019/9/19
